system   D            wsystem.c:583  maybe_parent_dir                 [   0.00021] Also searching F:\University\C++\Level5\Space-Invaders\
display  D   display_settings.c:191  debug_display_settings           [   0.18997] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18997] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.18998] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18998] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18999] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.18999] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.18999] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19000] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19000] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19001] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19001] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19001] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19002] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19002] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19002] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19003] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19003] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19004] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19004] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19004] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19005] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19005] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19005] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19006] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19006] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19007] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19007] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19007] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19008] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19008] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19008] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19009] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19009] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19010] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19010] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19010] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19011] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19011] Single Buffer requirement not met.
